date,AAPL,AMZN,IBM,MSFT
2000-01-01,25.94,64.56,100.52,39.81
2000-02-01,28.66,68.87,92.11,36.35
2000-03-01,33.95,67.0,106.11,43.22
2000-04-01,31.01,55.19,99.95,28.37
2000-05-01,21.0,48.31,96.31,25.45
2000-06-01,26.19,36.31,98.33,32.54
2000-07-01,25.41,30.12,100.74,28.4
2000-08-01,30.47,41.5,118.62,28.4
2000-09-01,12.88,38.44,101.19,24.53
2000-10-01,9.78,36.62,88.5,28.02
2000-11-01,8.25,24.69,84.12,23.34
2000-12-01,7.44,15.56,76.47,17.65
2001-01-01,10.81,17.31,100.76,24.84
2001-02-01,9.12,10.19,89.98,24.0
2001-03-01,11.03,10.23,86.63,22.25
2001-04-01,12.74,15.78,103.7,27.56
2001-05-01,9.98,16.69,100.82,28.14
2001-06-01,11.62,14.15,102.35,29.7
2001-07-01,9.4,12.49,94.87,26.93
2001-08-01,9.27,8.94,90.25,23.21
2001-09-01,7.76,5.97,82.82,20.82
2001-10-01,8.78,6.98,97.58,23.65
2001-11-01,10.65,11.32,104.5,26.12
2001-12-01,10.95,10.82,109.36,26.95
2002-01-01,12.36,14.19,97.54,25.92
2002-02-01,10.85,14.1,88.82,23.73
2002-03-01,11.84,14.3,94.15,24.53
2002-04-01,12.14,16.69,75.82,21.26
2002-05-01,11.65,18.23,72.97,20.71
2002-06-01,8.86,16.25,65.31,22.25
2002-07-01,7.63,14.45,63.86,19.52
2002-08-01,7.38,14.94,68.52,19.97
2002-09-01,7.25,15.93,53.01,17.79
2002-10-01,8.03,19.36,71.76,21.75
2002-11-01,7.75,23.35,79.16,23.46
2002-12-01,7.16,18.89,70.58,21.03
2003-01-01,7.18,21.85,71.22,19.31
2003-02-01,7.51,22.01,71.13,19.34
2003-03-01,7.07,26.03,71.57,19.76
2003-04-01,7.11,28.69,77.47,20.87
2003-05-01,8.98,35.89,80.48,20.09
2003-06-01,9.53,36.32,75.42,20.93
2003-07-01,10.54,41.64,74.28,21.56
2003-08-01,11.31,46.32,75.12,21.65
2003-09-01,10.36,48.43,80.91,22.69
2003-10-01,11.44,54.43,81.96,21.45
2003-11-01,10.45,53.97,83.08,21.1
2003-12-01,10.69,52.62,85.05,22.46
2004-01-01,11.28,50.4,91.06,22.69
2004-02-01,11.96,43.01,88.7,21.77
2004-03-01,13.52,43.28,84.41,20.46
2004-04-01,12.89,43.6,81.04,21.45
2004-05-01,14.03,48.5,81.59,21.53
2004-06-01,16.27,54.4,81.19,23.44
2004-07-01,16.17,38.92,80.19,23.38
2004-08-01,17.25,38.14,78.17,22.47
2004-09-01,19.38,40.86,79.13,22.76
2004-10-01,26.2,34.13,82.84,23.02
2004-11-01,33.53,39.68,87.15,24.6
2004-12-01,32.2,44.29,91.16,24.52
2005-01-01,38.45,43.22,86.39,24.11
2005-02-01,44.86,35.18,85.78,23.15
2005-03-01,41.67,34.27,84.66,22.24
2005-04-01,36.06,32.36,70.77,23.28
2005-05-01,39.76,35.51,70.18,23.82
2005-06-01,36.81,33.09,68.93,22.93
2005-07-01,42.65,45.15,77.53,23.64
2005-08-01,46.89,42.7,75.07,25.35
2005-09-01,53.61,45.3,74.7,23.83
2005-10-01,57.59,39.86,76.25,23.8
2005-11-01,67.82,48.46,82.98,25.71
2005-12-01,71.89,47.15,76.73,24.29
2006-01-01,75.51,44.82,75.89,26.14
2006-02-01,68.49,37.44,75.09,25.04
2006-03-01,62.72,36.53,77.17,25.36
2006-04-01,70.39,35.21,77.05,22.5
2006-05-01,59.77,34.61,75.04,21.19
2006-06-01,57.27,38.68,72.15,21.8
2006-07-01,67.96,26.89,72.7,22.51
2006-08-01,67.85,30.83,76.35,24.13
2006-09-01,76.98,32.12,77.26,25.68
2006-10-01,81.08,38.09,87.06,26.96
2006-11-01,91.66,40.34,86.95,27.66
2006-12-01,84.84,39.46,91.9,28.13
2007-01-01,85.73,37.67,93.79,29.07
2007-02-01,84.61,39.14,88.18,26.63
2007-03-01,92.91,39.79,89.44,26.35
2007-04-01,99.8,61.33,96.98,28.3
2007-05-01,121.19,69.14,101.54,29.11
2007-06-01,122.04,68.41,100.25,27.95
2007-07-01,131.76,78.54,105.4,27.5
2007-08-01,138.48,79.91,111.54,27.34
2007-09-01,153.47,93.15,112.6,28.04
2007-10-01,189.95,89.15,111.0,35.03
2007-11-01,182.22,90.56,100.9,32.09
2007-12-01,198.08,92.64,103.7,34.0
2008-01-01,135.36,77.7,102.75,31.13
2008-02-01,125.02,64.47,109.64,26.07
2008-03-01,143.5,71.3,110.87,27.21
2008-04-01,173.95,78.63,116.23,27.34
2008-05-01,188.75,81.62,125.14,27.25
2008-06-01,167.44,73.33,114.6,26.47
2008-07-01,158.95,76.34,123.74,24.75
2008-08-01,169.53,80.81,118.16,26.36
2008-09-01,113.66,72.76,113.53,25.78
2008-10-01,107.59,57.24,90.24,21.57
2008-11-01,92.67,42.7,79.65,19.66
2008-12-01,85.35,51.28,82.15,18.91
2009-01-01,90.13,58.82,89.46,16.63
2009-02-01,89.31,64.79,90.32,15.81
2009-03-01,105.12,73.44,95.09,17.99
2009-04-01,125.83,80.52,101.29,19.84
2009-05-01,135.81,77.99,104.85,20.59
2009-06-01,142.43,83.66,103.01,23.42
2009-07-01,163.39,85.76,116.34,23.18
2009-08-01,168.21,81.19,117.0,24.43
2009-09-01,185.35,93.36,118.55,25.49
2009-10-01,188.5,118.81,119.54,27.48
2009-11-01,199.91,135.91,125.79,29.27
2009-12-01,210.73,134.52,130.32,30.34
2010-01-01,192.06,125.41,121.85,28.05
2010-02-01,204.62,118.4,127.16,28.67
2010-03-01,223.02,128.82,125.55,28.8
